Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
bosentan,Tracleer,10/06/00,Treatment of pulmonary arterial hypertension,Designated/Approved,,Treatment of pulmonary arterial hypertension.,11/20/2001,11/20/2008,,Actelion Pharmaceuticals Ltd,1840 Gateway Drive,Suite 300,Cherry Hill,New Jersey,8002,United States,134200
bosentan,Tracleer,10/06/00,Treatment of pulmonary arterial hypertension,Designated/Approved,,"Treatment of pulmonary arterial hypertension (PAH) (WHO Group 1) in pediatric patients aged 3 years and older with idiopathic or congenital PAH to improve pulmonary vascular resistance (PVR), which is expected to result in an improvement in exercise ability",9/05/17,9/05/24,"Treatment of pulmonary arterial hypertension (PAH) (WHO Group 1) in pediatric patients aged 3 years and older with idiopathic or congenital PAH to improve pulmonary vascular resistance (PVR), which is expected to result in an improvement in exercise ability",Actelion Pharmaceuticals Ltd,1840 Gateway Drive,Suite 300,Cherry Hill,New Jersey,8002,United States,134200
(tisagenlecleucel) Autologous T Cells transduced with lentiviral vector containing a chimeric antigen receptor directed against CD19,Kymriah (tisagenlecleucel),01/31/2014,For the treatment of Acute Lymphoblastic Leukemia,Designated/Approved,,Treatment of patients up to 25 years of age with B-cell precursor acute lymphoblastic leukemia (ALL) that is refractory or in second or later relapse,08/30/2017,08/30/2024,Treatment of patients up to 25 years of age with B-cell precursor acute lymphoblastic leukemia (ALL) that is refractory or in second or later relapse,Novartis Pharmaceuticals Corporation,"One Health Plaza,",Bldg 315 - Room 3650B,East Hanover,New Jersey,7936,United States,415113
5-aminolevulinic acid,Gleolan,01/15/2013,Visualization of malignant tissue during surgery for malignant glioma (WHO grades III and IV),Designated/Approved,,Optical imaging agent indicated in patients with glioma (suspected World Health Organization Grades III or IV on preoperative imaging) as an adjunct for the visualization of malignant tissue during surgery,6/06/17,6/06/24,Optical imaging agent indicated in patients with glioma (suspected World Health Organization Grades III or IV on preoperative imaging) as an adjunct for the visualization of malignant tissue during surgery,NX Development Corporation,1827 South Bayshore Lane,,Miami,Florida,33133,United States,387312
abatacept,Orencia,12/26/2017,Prevention of graft versus host disease,Designated/Approved,,"prophylaxis of acute graft versus host disease (aGVHD), in combination with a calcineurin inhibitor and methotrexate, in adults and pediatric patients 2 years of age and older undergoing hematopoietic stem cell transplantation (HSCT) from a matched or 1 allele-mismatched unrelated-donor",12/15/2021,,,Bristol-Myers Squibb Co.,P. O. Box 5326,,Princeton,New Jersey,8543,United States,614117
acalabrutinib,CALQUENCE,09/21/2015,Treatment of mantle cell lymphoma.,Designated/Approved,,treatment of adult patients with mantle cell lymphoma (MCL) who have received at least one prior therapy,10/31/2017,10/31/2024,treatment of adult patients with mantle cell lymphoma (MCL) who have received at least one prior therapy,"Acerta Pharma, LLC (a member of the AstraZeneca Group)",121 Oyster Point Boulevard,,South San Francisco,California,94080,United States,488915
acalabrutinib,,05/13/2015,Treatment of chronic lymphocytic leukemia (CLL).,Designated/Approved,,CALQUENCE is indicated for the treatment of adult patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL).,11/21/2019,11/21/2026,Indicated for the treatment of adult patients with chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL).,"Acerta Pharma, LLC (a member of the AstraZeneca Group)",121 Oyster Point Boulevard,,South San Francisco,California,94080,United States,477415
acetylcysteine,Acetadote,10/19/2001,For the intravenous treatment of moderate to severe acetaminophen overdose,Designated/Approved,,"For the use of Acetadote(registered TM) Injection, administered intravenously within 8 to 10 hours after ingestion of a potentially heptotoxic quantity of acetaminophen, to prevent or lessen hepatic injur",01/23/2004,01/23/2011,,"Cumberland Pharmaceuticals, Inc.",209 10th Street South,Suite 332,Nashville,Tennessee,37203,United States,148401
acetylcysteine effervescent tablets for oral solution,Cetylev,02/24/2015,Preventing hepatic injury from acetaminophin overdose,Designated/Approved,,Indicated to prevent or lessen hepatic injury after ingestion of a potentially hepatotoxic quantity of acetaminophen in patients with acute ingestion or from repeated supratherapeutic ingestion,01/29/2016,,,"Arbor Pharmaceuticals, Inc.",6 Concourse Parkway,Suite 1800,Atlanta,Georgia,30328,United States,401713
acyclovir,Avaclyr,12/13/2010,Treatment of acute herpetic keratitis caused by Herpes Simplex Virus type 1 and 2,Designated/Approved,,AVACLYR is a sterile topical antiviral indicated for the treatment of acute herpetic keratitis (dendritic ulcers) in patients with herpes simplex (HSV-1 and HSV-2) virus.,03/29/2019,03/29/2026,AVACLYR is a sterile topical antiviral indicated for the treatment of acute herpetic keratitis (dendritic ulcers) in patients with herpes simplex (HSV-1 and HSV-2) virus.,Fera Pharmaceuticals,134 Birch Hill Road,,Locust Valley,New York,11560,United States,325010
